id,title,region,country,tendering_authority,domain_industry,service_bucket,scope_summary,deadline_utc,published_utc,value_amount,value_currency,source_url,confidence
e7b001a1d6e1c2d4,"Provision of Annual Maintenance Contract without Spares for SCADA/DMS Control centre, RTU and FRTU of SCADA/Tirunelveli for one Year in respect of Tirunelveli EDC.",India,India,,Power Distribution,APM,"This tender seeks bids for an Annual Maintenance Contract (AMC) without spares for the SCADA/DMS Control Centre, Remote Terminal Units (RTU), and Feeder Remote Terminal Units (FRTU) of SCADA/Tirunelveli. The contract duration is for one year, serving the Tirunelveli Electricity Distribution Company (EDC).",,,,,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEanKtkyUphiCcdbcsA6GPNDSMbSKVyLGniXJbzPpfLc2NPjZYE9JENEZTdgITalBI9HGfsnJenJcsBE-fJA-oawj7NV0whmic4WART0vXJhcdhOtqp9g7j60P_K6GmdYPBOKwycgEIJGGxA7E79n2STZL8U7fSIXRN5dcoRwMT572KP8emVrnjlIRdKA,medium
99224399224398,Development and commissioning of a VR Training Module for Pot Room Activities at its Angul Smelter Plant.,India,India,NALCO,Mining & Metallurgy,SOFTWARE_AI_MOBILITY,"NALCO is inviting bids for the development and commissioning of a Virtual Reality (VR) Training Module for Pot Room Activities at its Angul Smelter Plant. The project aims to enhance industrial safety training through immersive AR/VR-based simulations, SOP-based learning, PTM simulator operations, hazard identification, emergency workflows, and performance analytics.",2026-05-30T10:00:00Z,2026-05-09T00:00:00Z,,,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGewu2CugtR2gj1W33bAIPREglAaNF1ZWE9jGahqApZPN39ykZxMqFmwFoY1uRB6qHUMte3IHtg3fQRUFDoVdz8KAPdNA-uZZ9zK21jtIN75NJDLWjMS8bCJEiJ4dSwvZFiujldLHOrS0NpESxCHdJdGNfO2Q==,high
e0d049f7e8c1b2a5,GIS BASED INTEGRATED AIRPORT ASSET MANAGEMENT SYSTEM at Cochin International Airport (including 6 years AMC).,India,India,Cochin International Airport Limited (CIAL),Aviation,AIM,"The tender is for a GIS-based Integrated Airport Asset Management System at Cochin International Airport, including a 6-year Annual Maintenance Contract (AMC). The selected bidder will be responsible for comprehensive data acquisition, processing, modeling, system integration, application development, deployment, training, and long-term support.",,2026-02-25T00:00:00Z,,,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHzIuC0VQpiSVkruEL_JhCOIIXlWFCX2vZDrR9CkKnE_Fo9g4Dq6WHWrFW6L0GWEozi7a1P5WGRAVACShohxCS4TLHUAEgsv8zXnfHoN5EG8BHIZqw16dCduJcknHBdpKlpfazCHl9e70s=,low
21e10266e7464012,"Request for Proposal for Appointment of Master System Integrator for Supply, Implementation & Support of Digital Project Management Platform including 5D-BIM, ERP, GIS, CDE and Analytics for Projects of MMRDA.",India,India,Mumbai Metropolitan Region Development Authority (MMRDA),Urban Development & Infrastructure,BIM_SERVICES,"MMRDA seeks a Master System Integrator for a Digital Project Management Platform. The platform will include 5D-BIM, ERP, GIS, CDE, and Analytics capabilities for various MMRDA projects. The project aims to integrate various digital tools to enhance project planning, execution, and monitoring.",,,,,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFddm9-IXaAWvExs4hQFXJ2pYuY2GiPL6vRHfp74GoZGhy0MH130fY8wEnCBYYdIpLcqqm_DllF1G-EmOqTpBMSlfMvi4vruhV4S0RoesZvLqE1x69kxHjwHmbuZrG8GqP33oL8InJc00cIqeKihxQNuZWt5JLkWbwbaf_teR_8IGXJtJpSTfjlQa2lmoMgs3xvrP26N8i9bbAb9-OsJiI7xJInVc7dd2h6Kek-e-falEoHOA==,low
c16111a8b2c3d4e7,"Tender for Supply, Installation, Testing and Commissioning of IoT based Ultrasonic Digital Water meters to the Water Supply lines located at any levels & heights including enabling of associated Software etc., complete its Operation & Maintenance.",India,India,IIT Hyderabad,Utilities,APM,"IIT Hyderabad invites tenders for the supply, installation, testing, and commissioning of IoT-based Ultrasonic Digital Water meters for water supply lines. The scope also includes enabling associated software and comprehensive operation and maintenance.",,2026-04-24T00:00:00Z,,,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQER7AywGZIw42IWt4M1K5PltaCXIjCck70s2tTxGhZKfsOkdxzGljEQqZM_GTu9FpkwwjYCK7_Y3cu-N3EIWoiaMaN35aRrJl4xoA5auUVz8-xTL-IyXSQObYb5aGtKU90hJkkPUDwis7sx4UcLRMIUlhxyr-s5ZC0IbFNVlnV8HA6hkoS66s06pIM=,high
e43b17c992d9c02f,Appointment of Third Party Quality Assurance (QA) consultants for the projects mentioned in this tender document. The consultant shall use Digital Twin software tool for the project management.,India,India,IIITDM Kancheepuram,Education & Infrastructure,AIM,"IIITDM Kancheepuram is seeking Third Party Quality Assurance (QA) consultants. The selected consultant will be responsible for project management utilizing a customized Digital Twin software tool for the specified projects. This includes progress monitoring, hindrance reporting, root cause analysis, and forecasting delays.",,2026-03-20T00:00:00Z,,,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGTHpq8-4MmXt52nOQUj8pDJyfyPmyxjHNPlXayOiTAbcqEmcxUaqgY3dFaP9jRakaisFfILSr7AEajxZCfnBEkE2U02J7MS6s6TAuLLDDlFM_2xWcbdjYkEI4tG7GPkzXtA8LhnmKGA8yLLCjZl-W9fpFH5YKzoMS9QDLAqw==,high
b3e04e9c3e533039,Tender for selection of software solution provider for iiot-based scada saas platform for government building rooftop solar/wind and renewable energy systems under geda.,India,India,GEDA (Gujarat Energy Development Agency),Renewable Energy,APM,This tender is for the selection of a software solution provider to implement an IIoT-based SCADA SaaS platform. The platform will be used for government building rooftop solar/wind and renewable energy systems under the Gujarat Energy Development Agency (GEDA).,2026-08-18T23:59:59Z,,,,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFMvKE1kuxdXlxxMQ5K1jAk8zTelNuX2tPliAv453oL7Qb5Ku1m2s_5w0StzuNsIdnXaEVoNCSRY60RJ71ai7_UqQFznmSgS8H_8ntmTt_-L4w5DsI567hqZAeA2wJve_uSJjJRLYrEQbg=,high
1e78440d96a75907,"Tender for supply of plaxis 3d - 3d laser scanner, high end desktop computer, 3d coordinate measuring machine, industrial composite color 3d printer, 3d surface and contour mapping software, entry and mid level desktop computer, interactive panels with cpu, 3d laser scanning and imaging system (forensic use), xlpe cable for working voltage up to and including 1.1 kv marked to is 7098 (part 1), 3d laser scanning and imaging system as per mha qrs.",India,India,,Forensics & Surveying,LASER_SCANNING_GPR,"This tender calls for the supply of various equipment including a Plaxis 3D laser scanner, high-end desktop computers, a 3D coordinate measuring machine, an industrial composite color 3D printer, 3D surface and contour mapping software, interactive panels with CPU, and 3D laser scanning and imaging systems (for forensic use).",2026-07-31T23:59:59Z,,2200000,INR,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGVJSjaF-xlk133hqShjiTxoNpQ6gfPDzLl8ZTG6XTh6yBU__BTV1iP2A6JC-QBuuqcTs53SXUZGDJDlBVWI1tzbSZnntKKTTEgrSBIWF1842gywORs1S3XVBaV0-T9rby6p7cX1UebYnrO6hamEjIWGtpns7cGDZOtyIQLH5M5v2w4r8OxGFY_EHUgR5mm_MQwQVMg1ppVJd0XuzV8F8j7aqwFlVNkMXWzp7EBT1yvJT51dVhr0CHomRwvb6ZiNlc=,low
87b322312b982638,"Carrying Out Feasibility Studies by Final Location Surveys including Traffic Survey as per the Railway Board Guidelines, Preparation of Detailed Project Reports, Bridge Designs & Drawings, Preparation of EPC Tender Documents, Preparation of Short Video Film about the projects showing the highlights, Conducting Soil Investigation including Hydrological Studies for various location in Chakradharpur Divisions.",India,India,,Railway Infrastructure,LASER_SCANNING_GPR,"This tender involves feasibility studies, final location surveys (including traffic surveys), preparation of Detailed Project Reports, bridge designs and drawings, EPC tender documents, and a short video film. It also includes soil investigation and hydrological studies for various locations in Chakradharpur Divisions. The survey work includes 3D point cloud data using LiDAR.",2026-08-07T23:59:59Z,2026-07-15T00:00:00Z,,,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEd6Muiw-YfQ4CZsNWXmATdqo_Ip5DHV49HXR9uu9xaXdnzy_IvBNcevFUmsSaKQzNVGNzwXtRM_jS6suaP3chA0eTHETYYtjstduAzUSx1tdwFoRbtC6tR7NZW-J3HyYHH5b8vcJLaepRsCYwZVKa6RzKNTLf-24F6Icu2,high
972688005391c492,Tender for Supply and Installation of AR/VR Training Lab.,India,India,NSIC-Technical Service Centre,Education & Training,SOFTWARE_AI_MOBILITY,"The NSIC-Technical Service Centre, a Government of India Enterprise, is inviting tenders for the supply and installation of an AR/VR training lab.",,,,,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGopQYJcAW2-TyxTmgh52Rhn9OVUmw28hHRiwh1jg3QxNgoalp0MONbct7WdXQgnZYnmrCm5Yk5gpWQYY7FMk0QOPiVOVgoEWWnzQ9k86LryFuRxV8j8st08JeZa7CIgtcxRsywoUdoS_EaEjTYfl_ZowFkFC1e,medium
e6f4a8b7c0d1e2f4,"Expression of Interest (EoI) for Sovereign Cloud Services - Digital Twin Platform, IoT Device Ecosystem, Marketplace.",India,India,C-DAC,Information Technology,AIM,"C-DAC has issued an Expression of Interest (EoI) for Sovereign Cloud Services. This includes a Digital Twin Platform to create digital replicas of real-world systems, an IoT Device Ecosystem, and a Marketplace to discover and integrate compatible IoT hardware.",2026-08-11T23:59:59Z,,,,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFmdqSTyI6iTijoN5FQ9V9utyMxIurEoCsFQnkbEOOlgL696RhwQe-oK-Q3r90oh9WXKYEDS4HF_LDjDfXOm7t636KZCRhcWfwvr2U3W9jz0qVuX2vQHWDybqEGd2MTRl-Ir_YnapYy5zYmi3JHcardEgPyGhyfwPh2ucE=,high
